Year,Country,Region,Police force area,Monitored hate crime strand,GeoCode,Value
2016/17,England,South East,,Religion,E12000008,0.0609330714466851
2016/17,England,South West,Avon and Somerset,Religion,E23000036,0.135656550932192
2016/17,England,South West,Dorset,Religion,E23000039,0.0906872017038829
2016/17,England,South West,Gloucestershire,Religion,E23000037,0.0497489283920344
2016/17,England,South West,Wiltshire,Religion,E23000038,0.0429967506741276
2016/17,England,South West,Devon & Cornwall,Religion,E23000035,0.0121113482756612
2016/17,England,South West,,Religion,E12000009,0.0672594563441711
2016/17,Wales,,Dyfed-Powys,Religion,W15000004,0.0193847287107216
2016/17,Wales,,Gwent,Religion,W15000002,0.0119835722344055
2016/17,Wales,,North Wales,Religion,W15000001,0.0229943864953968
2016/17,Wales,,South Wales,Religion,W15000003,0.0683202702446245
2016/17,Wales,,,Religion,W92000004,0.0395098212421502
2016/17,England,,,Religion,E92000001,0.101613830641118
2016/17,,,,Religion,,0.101899211864665
2016/17,England,North East,Cleveland,Sexual orientation,E23000013,0.113414850256955
2016/17,England,North East,Durham,Sexual orientation,E23000008,0.144953161014289
2016/17,England,North East,Northumbria,Sexual orientation,E23000007,0.168194141721906
2016/17,England,North East,,Sexual orientation,E12000001,0.150937786326705
2016/17,England,North West,Cheshire,Sexual orientation,E23000006,0.141209651488855
2016/17,England,North West,Cumbria,Sexual orientation,E23000002,0.124521496025354
2016/17,England,North West,Greater Manchester,Sexual orientation,E23000005,0.211348022979424
2016/17,England,North West,Lancashire,Sexual orientation,E23000003,0.08888637493081
2016/17,England,North West,Merseyside,Sexual orientation,E23000004,0.2680513378748
2016/17,England,North West,,Sexual orientation,E12000002,0.181034383651334
2016/17,England,Yorkshire and The Humber,North Yorkshire,Sexual orientation,E23000009,0.130343948167376
2016/17,England,Yorkshire and The Humber,South Yorkshire,Sexual orientation,E23000011,0.028159475049622
2016/17,England,Yorkshire and The Humber,West Yorkshire,Sexual orientation,E23000010,0.0730538646146647
2016/17,England,Yorkshire and The Humber,Humberside,Sexual orientation,E23000012,0.588447038688776
2016/17,England,Yorkshire and The Humber,,Sexual orientation,E12000003,0.158319389001428
2016/17,England,East Midlands,Derbyshire,Sexual orientation,E23000018,0.0633398528596024
2016/17,England,East Midlands,Leicestershire,Sexual orientation,E23000021,0.131787278508579
2016/17,England,East Midlands,Lincolnshire,Sexual orientation,E23000020,0.0443898613556663
2016/17,England,East Midlands,Northamptonshire,Sexual orientation,E23000022,0.105029408234305
2016/17,England,East Midlands,Nottinghamshire,Sexual orientation,E23000019,0.134684047070754
2016/17,England,East Midlands,,Sexual orientation,E12000004,0.0994827531830776
2016/17,England,West Midlands,Staffordshire,Sexual orientation,E23000015,0.139242449667424
2016/17,England,West Midlands,Warwickshire,Sexual orientation,E23000017,0.107768298158958
2016/17,England,West Midlands,West Mercia,Sexual orientation,E23000016,0.122347385539651
2016/17,England,West Midlands,West Midlands,Sexual orientation,E12000005,0.121469148407026
2016/17,England,West Midlands,,Sexual orientation,E12000005,0.250617380908749
2016/17,England,East of England,Bedfordshire,Sexual orientation,E23000026,0.0526728459439651
2016/17,England,East of England,Cambridgeshire,Sexual orientation,E23000023,0.100113658447531
2016/17,England,East of England,Essex,Sexual orientation,E23000028,0.103209252875986
2016/17,England,East of England,Hertfordshire,Sexual orientation,E23000027,0.100278740906927
2016/17,England,East of England,Norfolk,Sexual orientation,E23000024,0.151197822751352
2016/17,England,East of England,Suffolk,Sexual orientation,E23000025,0.124786320199014
2016/17,England,East of England,,Sexual orientation,E12000006,0.106352749887367
2016/17,England,London,"London, City of",Sexual orientation,E23000034,0.85097330071269
2016/17,England,London,Metropolitan Police,Sexual orientation,E23000001,0.233069669946691
2016/17,England,London,,Sexual orientation,E12000007,0.233730683080766
2016/17,England,South East,Hampshire,Sexual orientation,E23000030,0.154874929608075
2016/17,England,South East,Kent,Sexual orientation,E23000032,0.138977771796301
2016/17,England,South East,Surrey,Sexual orientation,E23000031,0.141090596311755
2016/17,England,South East,Sussex,Sexual orientation,E23000033,0.199310919680079
2016/17,England,South East,Thames Valley,Sexual orientation,E23000029,0.0706122375210733
2016/17,England,South East,,Sexual orientation,E12000008,0.135936143027423
2016/17,England,South West,Avon and Somerset,Sexual orientation,E23000036,0.219549417956048
2016/17,England,South West,Dorset,Sexual orientation,E23000039,0.177487809049028
2016/17,England,South West,Gloucestershire,Sexual orientation,E23000037,0.0994978567840688
2016/17,England,South West,Wiltshire,Sexual orientation,E23000038,0.071661251123546
2016/17,England,South West,Devon & Cornwall,Sexual orientation,E23000035,0.0386409683080619
2016/17,England,South West,,Sexual orientation,E12000009,0.121465864556858
2016/17,Wales,,Dyfed-Powys,Sexual orientation,W15000004,0.0678465504875259
2016/17,Wales,,Gwent,Sexual orientation,W15000002,0.107852150109649
2016/17,Wales,,North Wales,Sexual orientation,W15000001,0.0905403968256249
2016/17,Wales,,South Wales,Sexual orientation,W15000003,0.227734234148748
2016/17,Wales,,,Sexual orientation,W92000004,0.148081525143343
2016/17,England,,,Sexual orientation,E92000001,0.151172285435638
2016/17,,,,Sexual orientation,,0.15684839183808
2016/17,England,North East,Cleveland,Disability,E23000013,0.0691121743753322
2016/17,England,North East,Durham,Disability,E23000008,0.0971664046359525
2016/17,England,North East,Northumbria,Disability,E23000007,0.150890217676442
2016/17,England,North East,,Disability,E12000001,0.120598532793699
2016/17,England,North West,Cheshire,Disability,E23000006,0.102090761549375
2016/17,England,North West,Cumbria,Disability,E23000002,0.102428972536984
2016/17,England,North West,Greater Manchester,Disability,E23000005,0.109268365622015
2016/17,England,North West,Lancashire,Disability,E23000003,0.0646446363133163
2016/17,England,North West,Merseyside,Disability,E23000004,0.200505244776376
2016/17,England,North West,,Disability,E12000002,0.116349565621362
2016/17,England,Yorkshire and The Humber,North Yorkshire,Disability,E23000009,0.0860761921860032
2016/17,England,Yorkshire and The Humber,South Yorkshire,Disability,E23000011,0.020217059009985
2016/17,England,Yorkshire and The Humber,West Yorkshire,Disability,E23000010,0.0465283542486257
2016/17,England,Yorkshire and The Humber,Humberside,Disability,E23000012,0.347032868970303
2016/17,England,Yorkshire and The Humber,,Disability,E12000003,0.0971295902255563
2016/17,England,East Midlands,Derbyshire,Disability,E23000018,0.0383877896118802
2016/17,England,East Midlands,Leicestershire,Disability,E23000021,0.0654263084794365
2016/17,England,East Midlands,Lincolnshire,Disability,E23000020,0.07667339688706
2016/17,England,East Midlands,Northamptonshire,Disability,E23000022,0.076385024170404
2016/17,England,East Midlands,Nottinghamshire,Disability,E23000019,0.073944182705512
2016/17,England,East Midlands,,Disability,E12000004,0.0649812877174571
2016/17,England,West Midlands,Staffordshire,Disability,E23000015,0.132994391028501
2016/17,England,West Midlands,Warwickshire,Disability,E23000017,0.0556802873821284
2016/17,England,West Midlands,West Mercia,Disability,E23000016,0.0611736927698256
2016/17,England,West Midlands,West Midlands,Disability,E12000005,0.014311020358299
2016/17,England,West Midlands,,Disability,E12000005,0.104016684555442
2016/17,England,East of England,Bedfordshire,Disability,E23000026,0.0647123535883
2016/17,England,East of England,Cambridgeshire,Disability,E23000023,0.038867655632571
2016/17,England,East of England,Essex,Disability,E23000028,0.103764141332309
2016/17,England,East of England,Hertfordshire,Disability,E23000027,0.0841321639812359
2016/17,England,East of England,Norfolk,Disability,E23000024,0.390874371409051
2016/17,England,East of England,Suffolk,Disability,E23000025,0.268357677847342
2016/17,England,East of England,,Disability,E12000006,0.148600237956121
2016/17,England,London,Metropolitan Police,Disability,E23000001,0.0758672532671047
2016/17,England,London,,Disability,E12000007,0.0758998858884474
2016/17,England,South East,Hampshire,Disability,E23000030,0.0787069314401692
2016/17,England,South East,Kent,Disability,E23000032,0.0873417617217862
2016/17,England,South East,Surrey,Disability,E23000031,0.0943437119915957
2016/17,England,South East,Sussex,Disability,E23000033,0.111852098208522
2016/17,England,South East,Thames Valley,Disability,E23000029,0.0470748250140488
2016/17,England,South East,,Disability,E12000008,0.080320866906994
2016/17,England,South West,Avon and Somerset,Disability,E23000036,0.217764463338519
2016/17,England,South West,Dorset,Disability,E23000039,0.136030802555824
2016/17,England,South West,Gloucestershire,Disability,E23000037,0.057772949100427
2016/17,England,South West,Wiltshire,Disability,E23000038,0.0532340722632056
2016/17,England,South West,Devon & Cornwall,Disability,E23000035,0.0155717334972786
2016/17,England,South West,,Disability,E12000009,0.101523707689314
2016/17,Wales,,Dyfed-Powys,Disability,W15000004,0.0387694574214433
2016/17,Wales,,Gwent,Disability,W15000002,0.0787491889689505
2016/17,Wales,,North Wales,Disability,W15000001,0.0776060544219642
2016/17,Wales,,South Wales,Disability,W15000003,0.165486876814757
2016/17,Wales,,,Disability,W92000004,0.108571703901193
2016/17,England,,,Disability,E92000001,0.0932364795750862
2016/17,,,,Disability,,0.0952018523354866
2016/17,England,North East,Cleveland,Transgender,E23000013,0.0177210703526493
2016/17,England,North East,Durham,Transgender,E23000008,0.00955735127566746
2016/17,England,North East,Northumbria,Transgender,E23000007,0.030454906320016
2016/17,England,North East,,Transgender,E12000001,0.0227544401497545
2016/17,England,North West,Cheshire,Transgender,E23000006,0.0171741468026986
2016/17,England,North West,Cumbria,Transgender,E23000002,0.0281177571670154
2016/17,England,North West,Greater Manchester,Transgender,E23000005,0.0190500769012066
2016/17,England,North West,Lancashire,Transgender,E23000003,0.0181813039631202
2016/17,England,North West,Merseyside,Transgender,E23000004,0.0334175407960627
2016/17,England,North West,,Transgender,E12000002,0.0220233106354722
2016/17,England,Yorkshire and The Humber,North Yorkshire,Transgender,E23000009,0.0307414972092868
2016/17,England,Yorkshire and The Humber,West Yorkshire,Transgender,E23000010,0.0113059552379838
2016/17,England,Yorkshire and The Humber,Humberside,Transgender,E23000012,0.0646645097460193
2016/17,England,Yorkshire and The Humber,,Transgender,E12000003,0.020458035132897
2016/17,England,East Midlands,Derbyshire,Transgender,E23000018,0.00959694740297006
2016/17,England,East Midlands,Leicestershire,Transgender,E23000021,0.0149545847952997
2016/17,England,East Midlands,Lincolnshire,Transgender,E23000020,0.0484253032970905
2016/17,England,East Midlands,Northamptonshire,Transgender,E23000022,0.00954812802130051
2016/17,England,East Midlands,Nottinghamshire,Transgender,E23000019,0.010563454672216
2016/17,England,East Midlands,,Transgender,E12000004,0.017144900016658
2016/17,England,West Midlands,Staffordshire,Transgender,E23000015,0.0214219153334499
2016/17,England,West Midlands,West Mercia,Transgender,E23000016,0.0182726614767011
2016/17,England,West Midlands,West Midlands,Transgender,E12000005,0.0216410551759644
2016/17,England,West Midlands,,Transgender,E12000005,0.038744469750517
2016/17,England,East of England,Bedfordshire,Transgender,E23000026,0.0120395076443348
2016/17,England,East of England,Cambridgeshire,Transgender,E23000023,0.012955885210857
2016/17,England,East of England,Essex,Transgender,E23000028,0.0188662075149653
2016/17,England,East of England,Hertfordshire,Transgender,E23000027,0.016996396763886
2016/17,England,East of England,Norfolk,Transgender,E23000024,0.0268796129335737
2016/17,England,East of England,Suffolk,Transgender,E23000025,0.0174432490600772
2016/17,England,East of England,,Transgender,E12000006,0.0179429486006294
2016/17,England,London,Metropolitan Police,Transgender,E23000001,0.0230107885284612
2016/17,England,London,,Transgender,E12000007,0.023099965270397
2016/17,England,South East,Hampshire,Transgender,E23000030,0.0330061325394258
2016/17,England,South East,Kent,Transgender,E23000032,0.0192261739639152
2016/17,England,South East,Surrey,Transgender,E23000031,0.0254983005382691
2016/17,England,South East,Sussex,Transgender,E23000033,0.049381511443124
2016/17,England,South East,Thames Valley,Transgender,E23000029,0.00588435312675611
2016/17,England,South East,,Transgender,E12000008,0.0251487403970864
2016/17,England,South West,Avon and Somerset,Transgender,E23000036,0.0392690015856346
2016/17,England,South West,Dorset,Transgender,E23000039,0.0349793492286405
2016/17,England,South West,Gloucestershire,Transgender,E23000037,0.0144432372751067
2016/17,England,South West,Wiltshire,Transgender,E23000038,0.0081898572712624
2016/17,England,South West,Devon & Cornwall,Transgender,E23000035,0.00346038522161748
2016/17,England,South West,,Transgender,E12000009,0.020304741537863
2016/17,Wales,,Dyfed-Powys,Transgender,W15000004,0.0058154186132165
2016/17,Wales,,Gwent,Transgender,W15000002,0.0171193889062936
2016/17,Wales,,North Wales,Transgender,W15000001,0.0114971932476984
2016/17,Wales,,South Wales,Transgender,W15000003,0.0182187387318998
2016/17,Wales,,,Transgender,W92000004,0.0144548126495671
2016/17,England,,,Transgender,E92000001,0.0212419225734817
2016/17,,,,Transgender,,0.0213767383437724
2016/17,England,North East,Cleveland,,E23000013,1.33616870458975
2016/17,England,North East,Durham,,E23000008,0.810781966552456
2016/17,England,North East,Northumbria,,E23000007,1.51374727549715
2016/17,England,North East,,,E12000001,1.30838030861088
2016/17,England,North West,Cheshire,,E23000006,1.07910889076956
2016/17,England,North West,Cumbria,,E23000002,0.632649536257847
2016/17,England,North West,Greater Manchester,,E23000005,1.9754570311138
2016/17,England,North West,Lancashire,,E23000003,0.724558632011754
2016/17,England,North West,Merseyside,,E23000004,2.04131403458502
2016/17,England,North West,,,E12000002,1.50825050006073
2016/17,England,Yorkshire and The Humber,North Yorkshire,,E23000009,1.04767022489249
2016/17,England,Yorkshire and The Humber,South Yorkshire,,E23000011,0.228885989505902
2016/17,England,Yorkshire and The Humber,West Yorkshire,,E23000010,0.691837491678164
2016/17,England,Yorkshire and The Humber,Humberside,,E23000012,5.55575912901216
2016/17,England,Yorkshire and The Humber,,,E12000003,1.45878691961153
2016/17,England,East Midlands,Derbyshire,,E23000018,0.574857149437906
2016/17,England,East Midlands,Leicestershire,,E23000021,1.06177552046628
2016/17,England,East Midlands,Lincolnshire,,E23000020,0.505775389991834
2016/17,England,East Midlands,Northamptonshire,,E23000022,0.795222662345456
2016/17,England,East Midlands,Nottinghamshire,,E23000019,1.11268389214008
2016/17,England,East Midlands,,,E12000004,0.837771781060896
2016/17,England,West Midlands,Staffordshire,,E23000015,1.2603226854513
2016/17,England,West Midlands,Warwickshire,,E23000017,0.968118545127974
2016/17,England,West Midlands,West Mercia,,E23000016,0.915222000919988
2016/17,England,West Midlands,West Midlands,,E12000005,1.48136513172247
2016/17,England,West Midlands,,,E12000005,2.56446503835178
2016/17,England,East of England,Bedfordshire,,E23000026,0.916507519424993
2016/17,England,East of England,Cambridgeshire,,E23000023,1.13305105207676
2016/17,England,East of England,Essex,,E23000028,1.06982494378979
2016/17,England,East of England,Hertfordshire,,E23000027,1.16935209735536
2016/17,England,East of England,Norfolk,,E23000024,1.21070256588305
2016/17,England,East of England,Suffolk,,E23000025,1.06806355783242
2016/17,England,East of England,,,E12000006,1.10137080864954
2016/17,England,London,"London, City of",,E23000034,10.7435379214977
2016/17,England,London,Metropolitan Police,,E23000001,2.24901979167034
2016/17,England,London,,,E12000007,2.25810694988058
2016/17,England,South East,Hampshire,,E23000030,1.13287202608398
2016/17,England,South East,Kent,,E23000032,1.05853820652756
2016/17,England,South East,Surrey,,E23000031,1.18397108832696
2016/17,England,South East,Sussex,,E23000033,1.19348568620369
2016/17,England,South East,Thames Valley,,E23000029,0.746051914285149
2016/17,England,South East,,,E12000008,1.0338680413463
2016/17,England,South West,Avon and Somerset,,E23000036,1.71177147821016
2016/17,England,South West,Dorset,,E23000039,1.3356929279529
2016/17,England,South West,Gloucestershire,,E23000037,0.710928234763588
2016/17,England,South West,Wiltshire,,E23000038,0.702280261010751
2016/17,England,South West,Devon & Cornwall,,E23000035,0.312011400815843
2016/17,England,South West,,,E12000009,0.949065374559935
2016/17,Wales,,Dyfed-Powys,,W15000004,0.325663442340124
2016/17,Wales,,Gwent,,W15000002,0.698471067376778
2016/17,Wales,,North Wales,,W15000001,0.668274357522469
2016/17,Wales,,South Wales,,W15000003,1.4423168162754
2016/17,Wales,,,,W92000004,0.944702311163933
2016/17,England,,,,E92000001,1.35199228154659
2016/17,,,,,,1.37703535710809
2015/16,England,North East,Cleveland,Race,E23000013,0.83795900939368
2015/16,England,North East,Durham,Race,E23000008,0.419143667091142
2015/16,England,North East,Northumbria,Race,E23000007,0.725586921904446
2015/16,England,North East,,Race,E12000001,0.676669126704389
2015/16,England,North West,Cheshire,Race,E23000006,0.540472165683467
2015/16,England,North West,Cumbria,Race,E23000002,0.433738423601796
2015/16,England,North West,Greater Manchester,Race,E23000005,1.44367421073217
2015/16,England,North West,Lancashire,Race,E23000003,0.406598945278276
2015/16,England,North West,Merseyside,Race,E23000004,1.21599679549079
2015/16,England,North West,,Race,E12000002,0.984131918283596
2015/16,England,Yorkshire and The Humber,North Yorkshire,Race,E23000009,0.49806397712119
2015/16,England,Yorkshire and The Humber,South Yorkshire,Race,E23000011,0.135306676948034
2015/16,England,Yorkshire and The Humber,West Yorkshire,Race,E23000010,0.349736470501613
2015/16,England,Yorkshire and The Humber,Humberside,Race,E23000012,3.3013717880809
2015/16,England,Yorkshire and The Humber,,Race,E12000003,0.823845169792615
2015/16,England,East Midlands,Derbyshire,Race,E23000018,0.444716269090965
2015/16,England,East Midlands,Leicestershire,Race,E23000021,0.581449305007092
2015/16,England,East Midlands,Lincolnshire,Race,E23000020,0.286425987389111
2015/16,England,East Midlands,Northamptonshire,Race,E23000022,0.579508897328726
2015/16,England,East Midlands,Nottinghamshire,Race,E23000019,0.621471990639689
2015/16,England,East Midlands,,Race,E12000004,0.514000527684402
2015/16,England,West Midlands,Staffordshire,Race,E23000015,0.770052324068173
2015/16,England,West Midlands,Warwickshire,Race,E23000017,0.492778004411536
2015/16,England,West Midlands,West Mercia,Race,E23000016,0.496305327037193
2015/16,England,West Midlands,West Midlands,Race,E12000005,1.16143772650417
2015/16,England,West Midlands,,Race,E12000005,1.77938894470801
2015/16,England,East of England,Bedfordshire,Race,E23000026,0.783225239089809
2015/16,England,East of England,Cambridgeshire,Race,E23000023,0.545637397202627
2015/16,England,East of England,Essex,Race,E23000028,0.487958559335928
2015/16,England,East of England,Hertfordshire,Race,E23000027,0.652468964854986
2015/16,England,East of England,Norfolk,Race,E23000024,0.471198154078406
2015/16,England,East of England,Suffolk,Race,E23000025,0.454242177127491
2015/16,England,East of England,,Race,E12000006,0.552789778112256
2015/16,England,London,"London, City of",Race,E23000034,9.93150684931506
2015/16,England,London,Metropolitan Police,Race,E23000001,1.53468807043731
2015/16,England,London,,Race,E12000007,1.54316842164364
2015/16,England,South East,Hampshire,Race,E23000030,0.636729788563739
2015/16,England,South East,Kent,Race,E23000032,0.530198849551773
2015/16,England,South East,Surrey,Race,E23000031,0.634834262912075
2015/16,England,South East,Sussex,Race,E23000033,0.705453183124839
2015/16,England,South East,Thames Valley,Race,E23000029,0.550758851572397
2015/16,England,South East,,Race,E12000008,0.605169048916769
2015/16,England,South West,Avon and Somerset,Race,E23000036,0.858071490334377
2015/16,England,South West,Dorset,Race,E23000039,0.732683974203255
2015/16,England,South West,Gloucestershire,Race,E23000037,0.499058594015833
2015/16,England,South West,Wiltshire,Race,E23000038,0.464931607737614
2015/16,England,South West,Devon & Cornwall,Race,E23000035,0.221978162462446
2015/16,England,South West,,Race,E12000009,0.530964069908136
2015/16,Wales,,Dyfed-Powys,Race,W15000004,0.170585281979409
2015/16,Wales,,Gwent,Race,W15000002,0.238918233242636
2015/16,Wales,,North Wales,Race,W15000001,0.39598371714955
2015/16,Wales,,South Wales,Race,W15000003,0.952597377258402
2015/16,Wales,,,Race,W92000004,0.563714591979699
2015/16,England,,,Race,E92000001,0.835737719741642
2015/16,,,,Race,,0.853738402108317
2015/16,England,North East,Cleveland,Religion,E23000013,0.024907486478793
2015/16,England,North East,Durham,Religion,E23000008,0.0783894644559771
2015/16,England,North East,Northumbria,Religion,E23000007,0.0549581657051306
2015/16,England,North East,,Religion,E12000001,0.0541030495450581
2015/16,England,North West,Cheshire,Religion,E23000006,0.0249153835244151
2015/16,England,North West,Cumbria,Religion,E23000002,0.0381529168908987
2015/16,England,North West,Greater Manchester,Religion,E23000005,0.158916638426913
2015/16,England,North West,Lancashire,Religion,E23000003,0.0453280022190425
2015/16,England,North West,Merseyside,Religion,E23000004,0.0493551640522735
2015/16,England,North West,,Religion,E12000002,0.086285787169624
2015/16,England,Yorkshire and The Humber,North Yorkshire,Religion,E23000009,0.027189596765921
2015/16,England,Yorkshire and The Humber,South Yorkshire,Religion,E23000011,0.0109118287861317
2015/16,England,Yorkshire and The Humber,West Yorkshire,Religion,E23000010,0.0153393188816497
2015/16,England,Yorkshire and The Humber,Humberside,Religion,E23000012,0.191336871804295
2015/16,England,Yorkshire and The Humber,,Religion,E12000003,0.0461917242239048
2015/16,England,East Midlands,Derbyshire,Religion,E23000018,0.0125408058528905
2015/16,England,East Midlands,Leicestershire,Religion,E23000021,0.0785998246182226
2015/16,England,East Midlands,Lincolnshire,Religion,E23000020,0.0339367283636388
2015/16,England,East Midlands,Northamptonshire,Religion,E23000022,0.0290445986728001
2015/16,England,East Midlands,Nottinghamshire,Religion,E23000019,0.0622361077893823
2015/16,England,East Midlands,,Religion,E12000004,0.0453278335561951
2015/16,England,West Midlands,Staffordshire,Religion,E23000015,0.0233349189111567
2015/16,England,West Midlands,Warwickshire,Religion,E23000017,0.0162454287168638
2015/16,England,West Midlands,West Mercia,Religion,E23000016,0.0200123115740803
2015/16,England,West Midlands,West Midlands,Religion,E12000005,0.0547015641471126
2015/16,England,West Midlands,,Religion,E12000005,0.0758763631718013
