Year,Units,Crop category,Crop,Livestock,Country,Timber category,Ownership,GeoCode,Value
2010,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,70.0
2011,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,75.0
2012,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,55.0
2013,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,78.0
2014,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,71.0
2015,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,73.0
2016,Timber (000s green tonnes),,,,,Hardwood,Forestry Commission,,68.0
2000,Timber (000s green tonnes),,,,,Hardwood,Private,,524.0
2001,Timber (000s green tonnes),,,,,Hardwood,Private,,486.0
2002,Timber (000s green tonnes),,,,,Hardwood,Private,,502.0
2003,Timber (000s green tonnes),,,,,Hardwood,Private,,445.0
2004,Timber (000s green tonnes),,,,,Hardwood,Private,,399.0
2005,Timber (000s green tonnes),,,,,Hardwood,Private,,492.0
2006,Timber (000s green tonnes),,,,,Hardwood,Private,,392.0
2007,Timber (000s green tonnes),,,,,Hardwood,Private,,400.0
2008,Timber (000s green tonnes),,,,,Hardwood,Private,,388.0
2009,Timber (000s green tonnes),,,,,Hardwood,Private,,449.0
2010,Timber (000s green tonnes),,,,,Hardwood,Private,,465.0
2011,Timber (000s green tonnes),,,,,Hardwood,Private,,465.0
2012,Timber (000s green tonnes),,,,,Hardwood,Private,,479.0
2013,Timber (000s green tonnes),,,,,Hardwood,Private,,454.0
2014,Timber (000s green tonnes),,,,,Hardwood,Private,,466.0
2015,Timber (000s green tonnes),,,,,Hardwood,Private,,490.0
2016,Timber (000s green tonnes),,,,,Hardwood,Private,,529.0
2000,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1658.0
2001,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1619.0
2002,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1463.0
2003,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1568.0
2004,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1650.0
2005,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1682.0
2006,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1720.0
2007,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1823.0
2008,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1738.0
2009,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1746.0
2010,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1820.0
2011,Timber (000s green tonnes),,,,England,Softwood,,E92000001,1923.0
2012,Timber (000s green tonnes),,,,England,Softwood,,E92000001,2001.0
2013,Timber (000s green tonnes),,,,England,Softwood,,E92000001,2116.0
2014,Timber (000s green tonnes),,,,England,Softwood,,E92000001,2229.0
2015,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1378.0
2015,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,692.0
2000,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1156.0
2001,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1075.0
2002,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1103.0
2003,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1107.0
2004,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1204.0
2005,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1165.0
2006,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1152.0
2007,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1211.0
2008,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1100.0
2009,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1213.0
2010,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1142.0
2011,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1185.0
2012,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1154.0
2013,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1188.0
2014,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1064.0
2015,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,686.0
2015,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,6846.0
2000,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,503.0
2001,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,544.0
2002,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,360.0
2003,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,461.0
2004,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,446.0
2005,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,517.0
2006,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,568.0
2007,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,612.0
2008,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,638.0
2009,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,533.0
2010,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,678.0
2011,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,738.0
2012,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,847.0
2013,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,929.0
2014,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,1165.0
2015,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2644.0
2015,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,4203.0
2000,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,574.0
2001,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,554.0
2002,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,544.0
2003,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,493.0
2004,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,450.0
2005,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,521.0
2006,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,384.0
2007,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,386.0
2008,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,378.0
2009,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,470.0
2010,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,470.0
2011,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,475.0
2012,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,469.0
2013,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,467.0
2014,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,471.0
2015,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,495.0
2016,Timber (000s green tonnes),,,,England,Hardwood,,E92000001,524.0
2000,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,114.0
2001,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,130.0
2002,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,108.0
2003,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,107.0
2004,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,104.0
2005,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,90.0
2006,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,42.0
2007,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,37.0
2008,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,40.0
2009,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,78.0
2010,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,65.0
2011,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,68.0
2012,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,50.0
2013,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,73.0
2014,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,69.0
2015,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,67.0
2016,Timber (000s green tonnes),,,,England,Hardwood,Forestry Commission,E92000001,63.0
2000,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,459.0
2001,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,425.0
2002,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,436.0
2003,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,386.0
2004,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,346.0
2005,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,431.0
2006,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,342.0
2007,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,349.0
2008,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,338.0
2009,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,392.0
2010,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,405.0
2011,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,406.0
2012,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,418.0
2013,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,394.0
2014,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,402.0
2015,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,428.0
2016,Timber (000s green tonnes),,,,England,Hardwood,Private,E92000001,461.0
2000,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1074.0
2001,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1154.0
2002,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1219.0
2003,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1163.0
2004,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1072.0
2005,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,931.0
2006,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,927.0
2007,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,966.0
2008,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,889.0
2009,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1038.0
2010,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1071.0
2011,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1190.0
2012,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1275.0
2013,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1388.0
2014,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1460.0
2015,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,393.0
2015,Timber (000s green tonnes),,,,Northern Ireland,Softwood,Forestry Commission,N92000002,365.0
2000,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,752.0
2001,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,779.0
2002,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,894.0
2003,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,880.0
2004,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,783.0
2005,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,673.0
2006,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,612.0
2007,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,584.0
2008,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,556.0
2009,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,717.0
2010,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,644.0
2011,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,689.0
2012,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,663.0
2013,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,693.0
2014,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,722.0
2015,Timber (000s green tonnes),,,,Northern Ireland,Softwood,Private,N92000002,28.0
2016,Timber (000s green tonnes),,,,,Softwood,,,10749.0
2000,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,322.0
2001,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,375.0
2002,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,325.0
2003,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,283.0
2004,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,289.0
2005,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,257.0
2006,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,315.0
2007,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,382.0
2008,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,333.0
2009,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,321.0
2010,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,427.0
2011,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,501.0
2012,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,611.0
2013,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,695.0
2014,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,739.0
2016,Timber (000s green tonnes),,,,,Softwood,Forestry Commission,,5034.0
2016,Timber (000s green tonnes),,,,,Softwood,Private,,5716.0
2000,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,29.0
2001,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,28.0
2002,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,28.0
2003,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,25.0
2004,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,23.0
2005,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,26.0
2006,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,19.0
2007,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,20.0
2008,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,19.0
2009,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,24.0
2010,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,24.0
2011,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,24.0
2012,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,24.0
2013,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,24.0
2014,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,24.0
2015,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,25.0
2016,Timber (000s green tonnes),,,,Wales,Hardwood,,W92000004,27.0
2000,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,11.0
2001,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,15.0
2002,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,10.0
2003,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,9.0
2004,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,9.0
2005,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,11.0
2006,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,3.0
2007,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,2.0
2008,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,2.0
2009,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,8.0
2010,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,4.0
2011,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,6.0
2012,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,4.0
2013,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,3.0
2014,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,1.0
2015,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,5.0
2016,Timber (000s green tonnes),,,,Wales,Hardwood,Forestry Commission,W92000004,3.0
2000,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,18.0
2001,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,13.0
2002,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,18.0
2003,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,16.0
2004,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,14.0
2005,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,16.0
2006,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,16.0
2007,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,17.0
2008,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,17.0
2009,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,16.0
2010,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,20.0
2011,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,18.0
2012,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,20.0
2013,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,20.0
2014,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,23.0
2015,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,20.0
2016,Timber (000s green tonnes),,,,Wales,Hardwood,Private,W92000004,24.0
2000,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,4334.0
2001,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,4296.0
2002,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,4346.0
2003,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,4722.0
2004,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,5008.0
2005,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,5065.0
2006,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,5209.0
2007,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,5555.0
2008,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,5189.0
2009,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,5161.0
2010,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,5905.0
2011,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,6460.0
2012,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,6411.0
2013,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,7053.0
2014,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,7441.0
2016,Timber (000s green tonnes),,,,England,Softwood,,E92000001,2138.0
2016,Timber (000s green tonnes),,,,England,Softwood,Forestry Commission,E92000001,1146.0
2000,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2616.0
2001,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2354.0
2002,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2268.0
2003,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2405.0
2004,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2527.0
2005,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2388.0
2006,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2454.0
2007,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2496.0
2008,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2362.0
2009,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2773.0
2010,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2434.0
2011,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2566.0
2012,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2627.0
2013,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2819.0
2014,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2749.0
2016,Timber (000s green tonnes),,,,England,Softwood,Private,E92000001,992.0
2016,Timber (000s green tonnes),,,,Wales,Softwood,,W92000004,1421.0
2000,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,1718.0
2001,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,1942.0
2002,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,2078.0
2003,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,2317.0
2004,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,2481.0
2005,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,2677.0
2006,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,2755.0
2007,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,3059.0
2008,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,2827.0
2009,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,2388.0
2010,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,3471.0
2011,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,3894.0
2012,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,3784.0
2013,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,4234.0
2014,Timber (000s green tonnes),,,,Scotland,Softwood,Private,S92000003,4691.0
2016,Timber (000s green tonnes),,,,Wales,Softwood,Forestry Commission,W92000004,778.0
2016,Timber (000s green tonnes),,,,Wales,Softwood,Private,W92000004,643.0
2000,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,51.0
2001,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,49.0
2002,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,48.0
2003,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,44.0
2004,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,40.0
2005,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,46.0
2006,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,34.0
2007,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,34.0
2008,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,34.0
2009,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,42.0
2010,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,42.0
2011,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,42.0
2012,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,42.0
2013,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,41.0
2014,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,42.0
2015,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,44.0
2016,Timber (000s green tonnes),,,,Scotland,Hardwood,,S92000003,46.0
2000,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,4.0
2001,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,0.0
2002,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,0.0
2003,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,0.0
2004,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,1.0
2005,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,0.0
2006,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,0.0
2007,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,1.0
2008,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,1.0
2009,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,1.0
2010,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,2.0
2011,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,1.0
2012,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,0.0
2013,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,1.0
2014,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,1.0
2015,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,1.0
2016,Timber (000s green tonnes),,,,Scotland,Hardwood,Forestry Commission,S92000003,2.0
2000,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,47.0
2001,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,49.0
2002,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,48.0
2003,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,43.0
2004,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,39.0
2005,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,46.0
2006,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,34.0
2007,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,34.0
2008,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,33.0
2009,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,41.0
2010,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,40.0
2011,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,41.0
2012,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,41.0
2013,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,40.0
2014,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,41.0
2015,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,43.0
2016,Timber (000s green tonnes),,,,Scotland,Hardwood,Private,S92000003,45.0
2000,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,356.0
2001,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,425.0
2002,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,415.0
2003,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,454.0
2004,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,410.0
2005,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,400.0
2006,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,387.0
2007,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,393.0
2008,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,423.0
2009,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,447.0
2010,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,463.0
2011,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,483.0
2012,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,432.0
2013,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,407.0
2014,Timber (000s green tonnes),,,,Northern Ireland,Softwood,,N92000002,398.0
2016,Timber (000s green tonnes),,,,Scotland,Softwood,,S92000003,6791.0
2016,Timber (000s green tonnes),,,,Scotland,Softwood,Forestry Commission,S92000003,2745.0
2000,Timber (000s green tonnes),,,,Northern Ireland,Softwood,Forestry Commission,N92000002,326.0
