Year,Country,Region,Age,Sex,Method of suicide,Value
2000,,,,,,11.9
2001,,,,,,11.5
2002,,,,,,11.2
2003,,,,,,10.9
2004,,,,,,11.1
2005,,,,,,10.7
2006,,,,,,10.4
2007,,,,,,10
2008,,,,,,10.5
2009,,,,,,10.3
2010,,,,,,10.2
2011,,,,,,10.9
2012,,,,,,10.7
2013,,,,,,11.1
2014,,,,,,10.8
2015,,,,,,10.9
2000,,,,Male,,18.4
2001,,,,Male,,17.9
2002,,,,Male,,17.1
2003,,,,Male,,16.9
2004,,,,Male,,16.9
2005,,,,Male,,16.4
2006,,,,Male,,16.2
2007,,,,Male,,15.6
2008,,,,Male,,16.3
2009,,,,Male,,16.1
2010,,,,Male,,15.8
2011,,,,Male,,16.8
2012,,,,Male,,16.8
2013,,,,Male,,17.8
2014,,,,Male,,16.8
2015,,,,Male,,16.6
2000,,,,Female,,5.9
2001,,,,Female,,5.5
2002,,,,Female,,5.6
2003,,,,Female,,5.5
2004,,,,Female,,5.8
2005,,,,Female,,5.5
2006,,,,Female,,5
2007,,,,Female,,4.7
2008,,,,Female,,5
2009,,,,Female,,4.9
2010,,,,Female,,4.9
2011,,,,Female,,5.3
2012,,,,Female,,4.9
2013,,,,Female,,4.8
2014,,,,Female,,5.2
2015,,,,Female,,5.4
2000,England and Wales,,,,,11.1
2001,England and Wales,,,,,10.7
2002,England and Wales,,,,,10.3
2003,England and Wales,,,,,10.4
2004,England and Wales,,,,,10.5
2005,England and Wales,,,,,10
2006,England and Wales,,,,,9.5
2007,England and Wales,,,,,9
2008,England and Wales,,,,,9.5
2009,England and Wales,,,,,9.6
2010,England and Wales,,,,,9.3
2011,England and Wales,,,,,9.9
2012,England and Wales,,,,,9.8
2013,England and Wales,,,,,10.4
2014,England and Wales,,,,,10.3
2015,England and Wales,,,,,10.3
2016,England and Wales,,,,,9.7
2000,England and Wales,,,Male,,17.2
2001,England and Wales,,,Male,,16.8
2002,England and Wales,,,Male,,15.8
2003,England and Wales,,,Male,,16
2004,England and Wales,,,Male,,16
2005,England and Wales,,,Male,,15.4
2006,England and Wales,,,Male,,14.8
2007,England and Wales,,,Male,,14.2
2008,England and Wales,,,Male,,14.9
2009,England and Wales,,,Male,,15
2010,England and Wales,,,Male,,14.4
2011,England and Wales,,,Male,,15.4
2012,England and Wales,,,Male,,15.6
2013,England and Wales,,,Male,,16.6
2014,England and Wales,,,Male,,16
2015,England and Wales,,,Male,,15.8
2016,England and Wales,,,Male,,15.1
2000,England and Wales,,,Female,,5.6
2001,England and Wales,,,Female,,5.1
2002,England and Wales,,,Female,,5.2
2003,England and Wales,,,Female,,5.2
2004,England and Wales,,,Female,,5.5
2005,England and Wales,,,Female,,5.1
2006,England and Wales,,,Female,,4.7
2007,England and Wales,,,Female,,4.2
2008,England and Wales,,,Female,,4.5
2009,England and Wales,,,Female,,4.5
2010,England and Wales,,,Female,,4.5
2011,England and Wales,,,Female,,4.7
2012,England and Wales,,,Female,,4.4
2013,England and Wales,,,Female,,4.4
2014,England and Wales,,,Female,,4.8
2015,England and Wales,,,Female,,5
2016,England and Wales,,,Female,,4.5
2000,England,,,,,11
2001,England,,,,,10.5
2002,England,,,,,10.2
2003,England,,,,,10.1
2004,England,,,,,10.3
2005,England,,,,,9.9
2006,England,,,,,9.4
2007,England,,,,,8.9
2008,England,,,,,9.4
2009,England,,,,,9.6
2010,England,,,,,9.1
2011,England,,,,,9.7
2012,England,,,,,9.6
2013,England,,,,,10.1
2014,England,,,,,10.3
2015,England,,,,,10.1
2016,England,,,,,9.5
2000,England,,,Male,,16.9
2001,England,,,Male,,16.5
2002,England,,,Male,,15.6
2003,England,,,Male,,15.6
2004,England,,,Male,,15.6
2005,England,,,Male,,15.2
2006,England,,,Male,,14.5
2007,England,,,Male,,13.9
2008,England,,,Male,,14.7
2009,England,,,Male,,14.9
2010,England,,,Male,,14.2
2011,England,,,Male,,15.1
2012,England,,,Male,,15.2
2013,England,,,Male,,16.1
2014,England,,,Male,,16
2015,England,,,Male,,15.4
2016,England,,,Male,,14.7
2000,England,,,Female,,5.6
2001,England,,,Female,,5.1
2002,England,,,Female,,5.1
2003,England,,,Female,,5.1
2004,England,,,Female,,5.4
2005,England,,,Female,,5.1
2006,England,,,Female,,4.6
2007,England,,,Female,,4.2
2008,England,,,Female,,4.4
2009,England,,,Female,,4.5
2010,England,,,Female,,4.4
2011,England,,,Female,,4.6
2012,England,,,Female,,4.3
2013,England,,,Female,,4.3
2014,England,,,Female,,4.9
2015,England,,,Female,,5
2016,England,,,Female,,4.5
2000,Wales,,,,,12.6
2001,Wales,,,,,12.4
2002,Wales,,,,,12
2003,Wales,,,,,13
2004,Wales,,,,,12.9
2005,Wales,,,,,10.4
2006,Wales,,,,,11.5
2007,Wales,,,,,11.2
2008,Wales,,,,,10
2009,Wales,,,,,9.7
2010,Wales,,,,,10.8
2011,Wales,,,,,12.6
2012,Wales,,,,,12.5
2013,Wales,,,,,14.7
2014,Wales,,,,,9.2
2015,Wales,,,,,13
2016,Wales,,,,,11.8
2000,Wales,,,Male,,20.6
2001,Wales,,,Male,,21
2002,Wales,,,Male,,18.5
2003,Wales,,,Male,,20.2
2004,Wales,,,Male,,20.9
2005,Wales,,,Male,,17.1
2006,Wales,,,Male,,17.8
2007,Wales,,,Male,,18.7
2008,Wales,,,Male,,15.1
2009,Wales,,,Male,,15.4
2010,Wales,,,Male,,17.6
2011,Wales,,,Male,,20.3
2012,Wales,,,Male,,20.1
2013,Wales,,,Male,,24.5
2014,Wales,,,Male,,15.3
2015,Wales,,,Male,,21
2000,Wales,,,Female,,5.2
2001,Wales,,,Female,,4.6
2002,Wales,,,Female,,5.7
2003,Wales,,,Female,,6
2004,Wales,,,Female,,5.5
2005,Wales,,,Female,,4.3
2006,Wales,,,Female,,5.7
2007,Wales,,,Female,,4.3
2008,Wales,,,Female,,5.2
2009,Wales,,,Female,,4.2
2010,Wales,,,Female,,4.5
2011,Wales,,,Female,,5.1
2012,Wales,,,Female,,5.6
2013,Wales,,,Female,,5.5
2014,Wales,,,Female,,3.4
2015,Wales,,,Female,,5.5
2016,Wales,,,Female,,4
2000,Scotland,,,,,19.2
2001,Scotland,,,,,19.4
2002,Scotland,,,,,19.6
2003,Scotland,,,,,17.4
2004,Scotland,,,,,18.2
2005,Scotland,,,,,16.5
2006,Scotland,,,,,16.4
2007,Scotland,,,,,18
2008,Scotland,,,,,17.9
2009,Scotland,,,,,15.6
2010,Scotland,,,,,16.4
2011,Scotland,,,,,18.6
2012,Scotland,,,,,17.3
2013,Scotland,,,,,16.6
2014,Scotland,,,,,14.5
2015,Scotland,,,,,14
2016,Scotland,,,,,15
2000,Scotland,,,Male,,31.2
2001,Scotland,,,Male,,29.6
2002,Scotland,,,Male,,30.6
2003,Scotland,,,Male,,26.8
2004,Scotland,,,Male,,27.6
2005,Scotland,,,Male,,24.7
2006,Scotland,,,Male,,26.5
2007,Scotland,,,Male,,27.7
2008,Scotland,,,Male,,27.9
2009,Scotland,,,Male,,23.8
2010,Scotland,,,Male,,25.2
2011,Scotland,,,Male,,27.6
2012,Scotland,,,Male,,26.3
2013,Scotland,,,Male,,26.4
2014,Scotland,,,Male,,20.2
2015,Scotland,,,Male,,20.6
2016,Scotland,,,Male,,22
2000,Scotland,,,Female,,8.6
2001,Scotland,,,Female,,10.2
2002,Scotland,,,Female,,9.5
2003,Scotland,,,Female,,9.2
2004,Scotland,,,Female,,9.6
2005,Scotland,,,Female,,9
2006,Scotland,,,Female,,7.2
2007,Scotland,,,Female,,9.1
2008,Scotland,,,Female,,8.7
2009,Scotland,,,Female,,8.1
2010,Scotland,,,Female,,8.2
2011,Scotland,,,Female,,10.2
2012,Scotland,,,Female,,8.9
2013,Scotland,,,Female,,7.5
2014,Scotland,,,Female,,8.6
2015,Scotland,,,Female,,7.9
2016,Scotland,,,Female,,8.4
2000,Northern Ireland,,,,,12.3
2001,Northern Ireland,,,,,10.6
2002,Northern Ireland,,,,,12.1
2003,Northern Ireland,,,,,9.6
2004,Northern Ireland,,,,,9.8
2005,Northern Ireland,,,,,14.1
2006,Northern Ireland,,,,,18.5
2007,Northern Ireland,,,,,15.7
2008,Northern Ireland,,,,,17.4
2009,Northern Ireland,,,,,16.1
2010,Northern Ireland,,,,,19.3
2011,Northern Ireland,,,,,17.8
2012,Northern Ireland,,,,,17.1
2013,Northern Ireland,,,,,18.9
2014,Northern Ireland,,,,,16.5
2015,Northern Ireland,,,,,19.3
2000,Northern Ireland,,,Male,,18.6
2001,Northern Ireland,,,Male,,18.1
2002,Northern Ireland,,,Male,,19.2
2003,Northern Ireland,,,Male,,15.4
2004,Northern Ireland,,,Male,,14.3
2005,Northern Ireland,,,Male,,22.1
2006,Northern Ireland,,,Male,,29.2
2007,Northern Ireland,,,Male,,23.2
2008,Northern Ireland,,,Male,,27.6
2009,Northern Ireland,,,Male,,25.9
2010,Northern Ireland,,,Male,,30.9
2011,Northern Ireland,,,Male,,27.2
2012,Northern Ireland,,,Male,,26.9
2013,Northern Ireland,,,Male,,29.3
2014,Northern Ireland,,,Male,,25.9
2015,Northern Ireland,,,Male,,30.3
2000,Northern Ireland,,,Female,,6.1
2001,Northern Ireland,,,Female,,3.5
2002,Northern Ireland,,,Female,,5.3
2003,Northern Ireland,,,Female,,4.1
2004,Northern Ireland,,,Female,,5.5
2005,Northern Ireland,,,Female,,6.4
2006,Northern Ireland,,,Female,,8.1
2007,Northern Ireland,,,Female,,8.8
2008,Northern Ireland,,,Female,,7.8
2009,Northern Ireland,,,Female,,6.7
2010,Northern Ireland,,,Female,,8.8
2011,Northern Ireland,,,Female,,8.9
2012,Northern Ireland,,,Female,,7.7
2013,Northern Ireland,,,Female,,9.1
2014,Northern Ireland,,,Female,,7.4
2015,Northern Ireland,,,Female,,8.8
2000,England,North East,,,,12.4
2001,England,North East,,,,11.2
2002,England,North East,,,,10.6
2003,England,North East,,,,12.2
2004,England,North East,,,,13.3
2005,England,North East,,,,10.8
2006,England,North East,,,,10
2007,England,North East,,,,9.6
2008,England,North East,,,,10.1
2009,England,North East,,,,10.4
2010,England,North East,,,,10.3
2011,England,North East,,,,11.9
2012,England,North East,,,,10.8
2013,England,North East,,,,13
2014,England,North East,,,,13.2
2015,England,North East,,,,10.9
2016,England,North East,,,,10.6
2000,England,North West,,,,12.5
2001,England,North West,,,,12.2
2002,England,North West,,,,10.8
2003,England,North West,,,,10.7
2004,England,North West,,,,10.7
2005,England,North West,,,,11.2
2006,England,North West,,,,10.5
2007,England,North West,,,,10.5
2008,England,North West,,,,10.1
2009,England,North West,,,,11.5
2010,England,North West,,,,10.1
2011,England,North West,,,,10.9
2012,England,North West,,,,11.3
2013,England,North West,,,,11.6
2014,England,North West,,,,11.7
2015,England,North West,,,,10.8
2016,England,North West,,,,10.5
2000,England,Yorkshire and the Humber,,,,10.6
2001,England,Yorkshire and the Humber,,,,10.2
2002,England,Yorkshire and the Humber,,,,10.4
2003,England,Yorkshire and the Humber,,,,9.6
2004,England,Yorkshire and the Humber,,,,10.7
2005,England,Yorkshire and the Humber,,,,10.8
2006,England,Yorkshire and the Humber,,,,9
2007,England,Yorkshire and the Humber,,,,9.3
2008,England,Yorkshire and the Humber,,,,10
2009,England,Yorkshire and the Humber,,,,8.8
2010,England,Yorkshire and the Humber,,,,8.3
2011,England,Yorkshire and the Humber,,,,10
2012,England,Yorkshire and the Humber,,,,10.4
2013,England,Yorkshire and the Humber,,,,10.9
2014,England,Yorkshire and the Humber,,,,9.7
2015,England,Yorkshire and the Humber,,,,11.6
2016,England,Yorkshire and the Humber,,,,9.9
2000,England,East Midlands,,,,11
2001,England,East Midlands,,,,10.7
2002,England,East Midlands,,,,9.8
2003,England,East Midlands,,,,10.1
2004,England,East Midlands,,,,10.4
2005,England,East Midlands,,,,9.6
2006,England,East Midlands,,,,9.2
2007,England,East Midlands,,,,8.9
2008,England,East Midlands,,,,8.5
2009,England,East Midlands,,,,9.4
2010,England,East Midlands,,,,8.1
2011,England,East Midlands,,,,9.2
2012,England,East Midlands,,,,9.4
2013,England,East Midlands,,,,9.6
2014,England,East Midlands,,,,10.5
2015,England,East Midlands,,,,9.8
2016,England,East Midlands,,,,8.4
2000,England,West Midlands,,,,11.9
2001,England,West Midlands,,,,11.4
2002,England,West Midlands,,,,10
2003,England,West Midlands,,,,10.1
2004,England,West Midlands,,,,9.8
2005,England,West Midlands,,,,9.2
2006,England,West Midlands,,,,8.8
2007,England,West Midlands,,,,7.6
2008,England,West Midlands,,,,9.7
2009,England,West Midlands,,,,9.3
2010,England,West Midlands,,,,9.4
2011,England,West Midlands,,,,8.9
2012,England,West Midlands,,,,9.2
2013,England,West Midlands,,,,9.8
2014,England,West Midlands,,,,11.6
2015,England,West Midlands,,,,9.6
2016,England,West Midlands,,,,8.9
2000,England,East of England,,,,9.4
2001,England,East of England,,,,9.4
2002,England,East of England,,,,9.9
2003,England,East of England,,,,9.4
2004,England,East of England,,,,9.4
2005,England,East of England,,,,9.2
2006,England,East of England,,,,8.7
2007,England,East of England,,,,8.5
2008,England,East of England,,,,9.8
2009,England,East of England,,,,8.3
2010,England,East of England,,,,8.8
2011,England,East of England,,,,9.4
2012,England,East of England,,,,8.4
2013,England,East of England,,,,8.8
2014,England,East of England,,,,9.8
2015,England,East of England,,,,9.3
2016,England,East of England,,,,9.8
2000,England,London,,,,10.1
2001,England,London,,,,10.2
2002,England,London,,,,9.9
2003,England,London,,,,10.3
2004,England,London,,,,9.9
2005,England,London,,,,9.9
2006,England,London,,,,9.3
2007,England,London,,,,8.4
2008,England,London,,,,8.7
2009,England,London,,,,8.4
2010,England,London,,,,8.4
2011,England,London,,,,8.4
2012,England,London,,,,8.3
2013,England,London,,,,7.4
2014,England,London,,,,7.8
2015,England,London,,,,10.4
2016,England,London,,,,7.8
2000,England,South East,,,,10.6
2001,England,South East,,,,10
2002,England,South East,,,,10.4
2003,England,South East,,,,9.9
2004,England,South East,,,,9.8
2005,England,South East,,,,9.7
2006,England,South East,,,,9.3
2007,England,South East,,,,8.4
2008,England,South East,,,,9.1
2009,England,South East,,,,9.7
2010,England,South East,,,,9.1
2011,England,South East,,,,9.6
2012,England,South East,,,,9.3
2013,England,South East,,,,10.7
2014,England,South East,,,,10.2
2015,England,South East,,,,9.7
2016,England,South East,,,,9.6
2000,England,South West,,,,11.8
2001,England,South West,,,,10.6
2002,England,South West,,,,10.3
2003,England,South West,,,,10.2
2004,England,South West,,,,11
2005,England,South West,,,,10.1
2006,England,South West,,,,10.2
2007,England,South West,,,,9.1
2008,England,South West,,,,9.6
2009,England,South West,,,,11.2
2010,England,South West,,,,10.7
2011,England,South West,,,,11
2012,England,South West,,,,11
2013,England,South West,,,,11.7
2014,England,South West,,,,11.1
2015,England,South West,,,,10.2
2016,England,South West,,,,11.2
2000,England,North East,,Male,,20
2001,England,North East,,Male,,18.3
2002,England,North East,,Male,,17.5
2003,England,North East,,Male,,20.6
2004,England,North East,,Male,,20.3
2005,England,North East,,Male,,16.5
2006,England,North East,,Male,,16.5
2007,England,North East,,Male,,15.7
2008,England,North East,,Male,,16.3
2009,England,North East,,Male,,17.6
2010,England,North East,,Male,,15.5
2011,England,North East,,Male,,19.6
2012,England,North East,,Male,,17.7
2013,England,North East,,Male,,20.8
2014,England,North East,,Male,,21.4
2015,England,North East,,Male,,16.8
2016,England,North East,,Male,,15.9
2000,England,North West,,Male,,19.7
2001,England,North West,,Male,,18.9
2002,England,North West,,Male,,16.3
2003,England,North West,,Male,,16.1
2004,England,North West,,Male,,16.6
2005,England,North West,,Male,,17.9
2006,England,North West,,Male,,16.7
2007,England,North West,,Male,,16.8
2008,England,North West,,Male,,16
2009,England,North West,,Male,,18.1
2010,England,North West,,Male,,16.1
2011,England,North West,,Male,,17.4
2012,England,North West,,Male,,18.2
2013,England,North West,,Male,,18.8
2014,England,North West,,Male,,17.7
2015,England,North West,,Male,,16.4
2016,England,North West,,Male,,16.2
2000,England,Yorkshire and the Humber,,Male,,16.1
2001,England,Yorkshire and the Humber,,Male,,16.1
2002,England,Yorkshire and the Humber,,Male,,16.3
2003,England,Yorkshire and the Humber,,Male,,14.8
2004,England,Yorkshire and the Humber,,Male,,16.9
2005,England,Yorkshire and the Humber,,Male,,16.2
2006,England,Yorkshire and the Humber,,Male,,14.5
2007,England,Yorkshire and the Humber,,Male,,15.1
2008,England,Yorkshire and the Humber,,Male,,16.1
2009,England,Yorkshire and the Humber,,Male,,14.4
2010,England,Yorkshire and the Humber,,Male,,12.6
2011,England,Yorkshire and the Humber,,Male,,15.9
2012,England,Yorkshire and the Humber,,Male,,16.9
2013,England,Yorkshire and the Humber,,Male,,17.9
2014,England,Yorkshire and the Humber,,Male,,15.6
2015,England,Yorkshire and the Humber,,Male,,17.9
2016,England,Yorkshire and the Humber,,Male,,15.8
2000,England,East Midlands,,Male,,17.6
2001,England,East Midlands,,Male,,16.9
2002,England,East Midlands,,Male,,15
2003,England,East Midlands,,Male,,15.9
2004,England,East Midlands,,Male,,15.9
2005,England,East Midlands,,Male,,15
2006,England,East Midlands,,Male,,14
2007,England,East Midlands,,Male,,14.5
2008,England,East Midlands,,Male,,12.9
2009,England,East Midlands,,Male,,13.9
2010,England,East Midlands,,Male,,12.4
2011,England,East Midlands,,Male,,14.5
2012,England,East Midlands,,Male,,15.6
2013,England,East Midlands,,Male,,15.7
2014,England,East Midlands,,Male,,16.3
2015,England,East Midlands,,Male,,15.3
2016,England,East Midlands,,Male,,13.6
2000,England,West Midlands,,Male,,18.8
2001,England,West Midlands,,Male,,18.3
2002,England,West Midlands,,Male,,16.3
2003,England,West Midlands,,Male,,15.7
2004,England,West Midlands,,Male,,15
2005,England,West Midlands,,Male,,13.7
2006,England,West Midlands,,Male,,13.6
2007,England,West Midlands,,Male,,11.7
2008,England,West Midlands,,Male,,15.7
2009,England,West Midlands,,Male,,14.3
2010,England,West Midlands,,Male,,14.3
2011,England,West Midlands,,Male,,13.8
2012,England,West Midlands,,Male,,14.8
2013,England,West Midlands,,Male,,16.2
2014,England,West Midlands,,Male,,18.5
2015,England,West Midlands,,Male,,15.2
2016,England,West Midlands,,Male,,13.9
2000,England,East of England,,Male,,14.5
2001,England,East of England,,Male,,14.1
2002,England,East of England,,Male,,15.8
2003,England,East of England,,Male,,14.2
2004,England,East of England,,Male,,13.7
2005,England,East of England,,Male,,14.4
2006,England,East of England,,Male,,13.2
2007,England,East of England,,Male,,13.3
2008,England,East of England,,Male,,14.9
2009,England,East of England,,Male,,13.1
2010,England,East of England,,Male,,14.3
2011,England,East of England,,Male,,14.5
2012,England,East of England,,Male,,13
2013,England,East of England,,Male,,14
2014,England,East of England,,Male,,15.2
2015,England,East of England,,Male,,14.5
2016,England,East of England,,Male,,15.2
2000,England,London,,Male,,14.8
2001,England,London,,Male,,15.4
2002,England,London,,Male,,14.7
2003,England,London,,Male,,14.7
2004,England,London,,Male,,15
2005,England,London,,Male,,14.8
2006,England,London,,Male,,14.5
2007,England,London,,Male,,12.8
2008,England,London,,Male,,13.3
2009,England,London,,Male,,12.9
2010,England,London,,Male,,13.4
2011,England,London,,Male,,12.4
2012,England,London,,Male,,12.7
2013,England,London,,Male,,11.7
2014,England,London,,Male,,12.4
2015,England,London,,Male,,15.9
2016,England,London,,Male,,12
2000,England,South East,,Male,,15.9
2001,England,South East,,Male,,15.4
2002,England,South East,,Male,,15.4
2003,England,South East,,Male,,15.6
2004,England,South East,,Male,,14.7
2005,England,South East,,Male,,14.4
2006,England,South East,,Male,,13.8
2007,England,South East,,Male,,13
2008,England,South East,,Male,,14
2009,England,South East,,Male,,14.7
2010,England,South East,,Male,,13.8
2011,England,South East,,Male,,14.5
2012,England,South East,,Male,,14.4
2013,England,South East,,Male,,16.9
2014,England,South East,,Male,,15.9
2015,England,South East,,Male,,14.8
2016,England,South East,,Male,,14.5
2000,England,South West,,Male,,17.6
2001,England,South West,,Male,,17.2
2002,England,South West,,Male,,15
2003,England,South West,,Male,,16.2
2004,England,South West,,Male,,16.5
2005,England,South West,,Male,,15.6
2006,England,South West,,Male,,16
2007,England,South West,,Male,,13.8
2008,England,South West,,Male,,14.9
2009,England,South West,,Male,,17.4
2010,England,South West,,Male,,16.6
2011,England,South West,,Male,,17.2
2012,England,South West,,Male,,17.2
2013,England,South West,,Male,,17.9
2014,England,South West,,Male,,16
2015,England,South West,,Male,,14.7
2016,England,South West,,Male,,17.1
2000,England,North East,,Female,,5.4
2001,England,North East,,Female,,4.8
2002,England,North East,,Female,,4.4
2003,England,North East,,Female,,5
2004,England,North East,,Female,,7.2
2005,England,North East,,Female,,5.8
2006,England,North East,,Female,,4.4
2007,England,North East,,Female,,4
2008,England,North East,,Female,,4.4
2009,England,North East,,Female,,3.7
2010,England,North East,,Female,,5.4
2011,England,North East,,Female,,4.6
2012,England,North East,,Female,,4
2013,England,North East,,Female,,5.5
2014,England,North East,,Female,,5.4
2015,England,North East,,Female,,5.3
2016,England,North East,,Female,,5.5
2000,England,North West,,Female,,6
2001,England,North West,,Female,,6.1
2002,England,North West,,Female,,5.7
2003,England,North West,,Female,,5.7
2004,England,North West,,Female,,5.2
2005,England,North West,,Female,,5.1
2006,England,North West,,Female,,4.7
2007,England,North West,,Female,,4.5
2008,England,North West,,Female,,4.4
2009,England,North West,,Female,,5.4
2010,England,North West,,Female,,4.4
2011,England,North West,,Female,,4.6
2012,England,North West,,Female,,4.8
2013,England,North West,,Female,,4.7
2014,England,North West,,Female,,5.8
2015,England,North West,,Female,,5.5
2016,England,North West,,Female,,5
2000,England,Yorkshire and the Humber,,Female,,5.6
2001,England,Yorkshire and the Humber,,Female,,4.9
2002,England,Yorkshire and the Humber,,Female,,4.8
2003,England,Yorkshire and the Humber,,Female,,4.7
2004,England,Yorkshire and the Humber,,Female,,5.4
2005,England,Yorkshire and the Humber,,Female,,5.6
2006,England,Yorkshire and the Humber,,Female,,4
2007,England,Yorkshire and the Humber,,Female,,3.9
2008,England,Yorkshire and the Humber,,Female,,4.3
2009,England,Yorkshire and the Humber,,Female,,3.5
2010,England,Yorkshire and the Humber,,Female,,4
2011,England,Yorkshire and the Humber,,Female,,4.4
2012,England,Yorkshire and the Humber,,Female,,4.2
2013,England,Yorkshire and the Humber,,Female,,4.1
2014,England,Yorkshire and the Humber,,Female,,4.1
2015,England,Yorkshire and the Humber,,Female,,5.6
2016,England,Yorkshire and the Humber,,Female,,4.2
2000,England,East Midlands,,Female,,4.9
2001,England,East Midlands,,Female,,4.9
2002,England,East Midlands,,Female,,4.8
2003,England,East Midlands,,Female,,4.8
2004,England,East Midlands,,Female,,5.4
2005,England,East Midlands,,Female,,4.4
2006,England,East Midlands,,Female,,4.8
2007,England,East Midlands,,Female,,3.8
2008,England,East Midlands,,Female,,4.3
2009,England,East Midlands,,Female,,5.1
2010,England,East Midlands,,Female,,4.1
2011,England,East Midlands,,Female,,4.1
2012,England,East Midlands,,Female,,3.5
2013,England,East Midlands,,Female,,3.8
2014,England,East Midlands,,Female,,4.9
2015,England,East Midlands,,Female,,4.5
2016,England,East Midlands,,Female,,3.6
2000,England,West Midlands,,Female,,5.9
2001,England,West Midlands,,Female,,5.1
2002,England,West Midlands,,Female,,4.1
2003,England,West Midlands,,Female,,4.7
2004,England,West Midlands,,Female,,5.1
2005,England,West Midlands,,Female,,5
2006,England,West Midlands,,Female,,4.3
2007,England,West Midlands,,Female,,3.7
2008,England,West Midlands,,Female,,4.2
2009,England,West Midlands,,Female,,4.4
2010,England,West Midlands,,Female,,4.7
2011,England,West Midlands,,Female,,4.4
2012,England,West Midlands,,Female,,3.8
2013,England,West Midlands,,Female,,3.6
2014,England,West Midlands,,Female,,5
2015,England,West Midlands,,Female,,4.1
2016,England,West Midlands,,Female,,4.1
2000,England,East of England,,Female,,4.8
2001,England,East of England,,Female,,5
2002,England,East of England,,Female,,4.5
2003,England,East of England,,Female,,4.8
2004,England,East of England,,Female,,5.3
2005,England,East of England,,Female,,4.6
2006,England,East of England,,Female,,4.5
2007,England,East of England,,Female,,4
2008,England,East of England,,Female,,4.9
2009,England,East of England,,Female,,3.9
2010,England,East of England,,Female,,3.6
2011,England,East of England,,Female,,4.5
2012,England,East of England,,Female,,4.1
2013,England,East of England,,Female,,3.9
2014,England,East of England,,Female,,4.8
2015,England,East of England,,Female,,4.4
2016,England,East of England,,Female,,4.8
2000,England,London,,Female,,5.8
2001,England,London,,Female,,5.5
2002,England,London,,Female,,5.4
2003,England,London,,Female,,6.1
2004,England,London,,Female,,5.2
2005,England,London,,Female,,5.3
2006,England,London,,Female,,4.6
2007,England,London,,Female,,4.2
2008,England,London,,Female,,4.2
2009,England,London,,Female,,4.2
2010,England,London,,Female,,3.9
2011,England,London,,Female,,4.7
2012,England,London,,Female,,4.1
2013,England,London,,Female,,3.5
2014,England,London,,Female,,3.5
2015,England,London,,Female,,5.4
2016,England,London,,Female,,3.7
2000,England,South East,,Female,,5.8
2001,England,South East,,Female,,5
2002,England,South East,,Female,,5.8
2003,England,South East,,Female,,4.6
2004,England,South East,,Female,,5.1
2005,England,South East,,Female,,5.5
2006,England,South East,,Female,,5.1
2007,England,South East,,Female,,4.2
2008,England,South East,,Female,,4.4
2009,England,South East,,Female,,5
2010,England,South East,,Female,,4.7
2011,England,South East,,Female,,5.1
2012,England,South East,,Female,,4.5
2013,England,South East,,Female,,4.9
2014,England,South East,,Female,,4.7
2015,England,South East,,Female,,4.8
2016,England,South East,,Female,,4.9
2000,England,South West,,Female,,6.3
2001,England,South West,,Female,,4.5
2002,England,South West,,Female,,5.9
2003,England,South West,,Female,,5
2004,England,South West,,Female,,6
2005,England,South West,,Female,,5
2006,England,South West,,Female,,4.7
2007,England,South West,,Female,,4.7
2008,England,South West,,Female,,4.8
2009,England,South West,,Female,,5.3
2010,England,South West,,Female,,5.4
2011,England,South West,,Female,,5.2
2012,England,South West,,Female,,5.3
2013,England,South West,,Female,,5.9
2014,England,South West,,Female,,6.5
2015,England,South West,,Female,,5.7
2016,England,South West,,Female,,"5.6
"
2000,,,10 to 14,,,0.2
2001,,,10 to 14,,,0.2
2002,,,10 to 14,,,0.3
2003,,,10 to 14,,,0.1
2004,,,10 to 14,,,0.1
2005,,,10 to 14,,,0.2
2006,,,10 to 14,,,0.2
2007,,,10 to 14,,,0.4
2008,,,10 to 14,,,0.3
2009,,,10 to 14,,,0.2
2010,,,10 to 14,,,0.1
2011,,,10 to 14,,,0.3
2012,,,10 to 14,,,0.3
2013,,,10 to 14,,,0.3
2014,,,10 to 14,,,0.4
2015,,,10 to 14,,,0.3
2000,,,15 to 19,,,6.7
2001,,,15 to 19,,,6.3
2002,,,15 to 19,,,5.7
2003,,,15 to 19,,,4.8
2004,,,15 to 19,,,5.3
2005,,,15 to 19,,,4.9
2006,,,15 to 19,,,4.5
2007,,,15 to 19,,,4.6
2008,,,15 to 19,,,4.8
2009,,,15 to 19,,,4.5
2010,,,15 to 19,,,4.1
2011,,,15 to 19,,,4.9
2012,,,15 to 19,,,4.2
2013,,,15 to 19,,,4.4
2014,,,15 to 19,,,4.9
2015,,,15 to 19,,,5.8
2000,,,20 to 24,,,14.2
2001,,,20 to 24,,,12.1
2002,,,20 to 24,,,11.2
2003,,,20 to 24,,,11.6
2004,,,20 to 24,,,10.2
2005,,,20 to 24,,,9.9
2006,,,20 to 24,,,9.1
2007,,,20 to 24,,,8.9
2008,,,20 to 24,,,9.6
2009,,,20 to 24,,,9.4
2010,,,20 to 24,,,10.2
2011,,,20 to 24,,,9.9
2012,,,20 to 24,,,9.4
2013,,,20 to 24,,,9
2014,,,20 to 24,,,9.2
2015,,,20 to 24,,,9.5
2000,,,25 to 29,,,16.5
2001,,,25 to 29,,,13.9
