Year,Units,Crop category,Crop,Livestock,Geography,Timber category,Ownership,Value,Value
2011,Land use (000s hectares),Permanent grassland,,,,,,9858.2744,9858.2744
2011,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,5876.9529,5876.9529
2011,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,3981.3215,3981.3215
2011,Land use (000s hectares),Common rough grazing,,,,,,1199.0207,1199.0207
2011,Land use (000s hectares),Other land on agricultural holdings,,,,,,1099.8291,1099.8291
2011,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,785.9276,785.9276
2011,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,8.652,8.652
2011,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,305.2495,305.2495
2012,Land use (000s hectares),,,,,,,18195.26587,18195.26587
2012,Land use (000s hectares),Arable crops,,,,,,4575.7021,4575.7021
2012,Land use (000s hectares),Arable crops,Wheat,,,,,1991.8748,1991.8748
2012,Land use (000s hectares),Arable crops,Barley,,,,,1002.1832,1002.1832
2012,Land use (000s hectares),Arable crops,Oats,,,,,121.9233,121.9233
2012,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,25.99,25.99
2012,Land use (000s hectares),Arable crops,Oilseed rape,,,,,755.6849,755.6849
2012,Land use (000s hectares),Arable crops,Linseed,,,,,29.2814,29.2814
2012,Land use (000s hectares),Arable crops,Potatoes,,,,,148.771,148.771
2012,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,120.081,120.081
2012,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,120.066,120.066
2012,Land use (000s hectares),Arable crops,Maize,,,,,157.7177,157.7177
2012,Land use (000s hectares),Horticultural crops,,,,,,171.87277,171.87277
2012,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,123.4599,123.4599
2012,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,24.185,24.185
2012,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,9.3337,9.3337
2012,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,12.3082,12.3082
2012,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,2.58597,2.58597
2012,Land use (000s hectares),Temporary grass under 5 years old,,,,,,1356.614,1356.614
2012,Land use (000s hectares),Permanent grassland,,,,,,9724.8824,9724.8824
2012,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,5799.2152,5799.2152
2012,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,3925.6672,3925.6672
2012,Land use (000s hectares),Common rough grazing,,,,,,1199.78261,1199.78261
2012,Land use (000s hectares),Other land on agricultural holdings,,,,,,1166.412,1166.412
2012,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,827.4594,827.4594
2012,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,7.268,7.268
2012,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,331.6846,331.6846
2013,Land use (000s hectares),,,,,,,18193.24133,18193.24133
2013,Land use (000s hectares),Arable crops,,,,,,4501.77632,4501.77632
2013,Land use (000s hectares),Arable crops,Wheat,,,,,1614.5114,1614.5114
2013,Land use (000s hectares),Arable crops,Barley,,,,,1212.9967,1212.9967
2013,Land use (000s hectares),Arable crops,Oats,,,,,176.5406,176.5406
2013,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,24.214,24.214
2013,Land use (000s hectares),Arable crops,Oilseed rape,,,,,715.2185,715.2185
2013,Land use (000s hectares),Arable crops,Linseed,,,,,34.498,34.498
2013,Land use (000s hectares),Arable crops,Potatoes,,,,,139.2928,139.2928
2013,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,116.973,116.973
2013,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,147.2992,147.2992
2013,Land use (000s hectares),Arable crops,Maize,,,,,194.4767,194.4767
2013,Land use (000s hectares),Horticultural crops,,,,,,163.35465,163.35465
2013,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,115.92998,115.92998
2013,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,23.39799,23.39799
2013,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,9.57998,9.57998
2013,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,11.8912,11.8912
2013,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,2.5555,2.5555
2013,Land use (000s hectares),Temporary grass under 5 years old,,,,,,1389.66513,1389.66513
2013,Land use (000s hectares),Permanent grassland,,,,,,9741.60175,9741.60175
2013,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,5801.74702,5801.74702
2013,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,3939.85473,3939.85473
2013,Land use (000s hectares),Common rough grazing,,,,,,1198.3878,1198.3878
2013,Land use (000s hectares),Other land on agricultural holdings,,,,,,1198.45568,1198.45568
2013,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,865.39736,865.39736
2013,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,8.941,8.941
2013,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,324.11732,324.11732
2014,Land use (000s hectares),,,,,,,18295.98476,18295.98476
2014,Land use (000s hectares),Arable crops,,,,,,4558.70001,4558.70001
2014,Land use (000s hectares),Arable crops,Wheat,,,,,1935.73672,1935.73672
2014,Land use (000s hectares),Arable crops,Barley,,,,,1079.82552,1079.82552
2014,Land use (000s hectares),Arable crops,Oats,,,,,137.2332,137.2332
2014,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,26.22682,26.22682
2014,Land use (000s hectares),Arable crops,Oilseed rape,,,,,674.64732,674.64732
2014,Land use (000s hectares),Arable crops,Linseed,,,,,14.538,14.538
2014,Land use (000s hectares),Arable crops,Potatoes,,,,,140.52922,140.52922
2014,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,116.293,116.293
2014,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,138.68198,138.68198
2014,Land use (000s hectares),Arable crops,Maize,,,,,183.45301,183.45301
2014,Land use (000s hectares),Horticultural crops,,,,,,163.51469,163.51469
2014,Land use (000s hectares),Horticultural crops,Vegetables grown outdoors,,,,,116.11241,116.11241
2014,Land use (000s hectares),Horticultural crops,Orchard fruit,,,,,23.43704,23.43704
2014,Land use (000s hectares),Horticultural crops,Soft fruit and wine grapes,,,,,9.37554,9.37554
2014,Land use (000s hectares),Horticultural crops,Outdoor plants and flowers,,,,,11.9955,11.9955
2014,Land use (000s hectares),Horticultural crops,Glasshouse crops,,,,,2.5942,2.5942
2014,Land use (000s hectares),Temporary grass under 5 years old,,,,,,1395.89344,1395.89344
2014,Land use (000s hectares),Permanent grassland,,,,,,9754.55511,9754.55511
2014,Land use (000s hectares),Permanent grassland,Grass over 5 years old,,,,,5824.28724,5824.28724
2014,Land use (000s hectares),Permanent grassland,Sole right rough grazing,,,,,3930.26787,3930.26787
2014,Land use (000s hectares),Common rough grazing,,,,,,1199.14485,1199.14485
2014,Land use (000s hectares),Other land on agricultural holdings,,,,,,1224.17666,1224.17666
2014,Land use (000s hectares),Other land on agricultural holdings,Woodland,,,,,897.46902,897.46902
2014,Land use (000s hectares),Other land on agricultural holdings,Land used for outdoor pigs,,,,,8.304,8.304
2014,Land use (000s hectares),Other land on agricultural holdings,All other non-agricultural land,,,,,318.40364,318.40364
2015,Land use (000s hectares),,,,,,,18213.72701,18213.72701
2015,Land use (000s hectares),Arable crops,,,,,,4504.67199,4504.67199
2015,Land use (000s hectares),Arable crops,Wheat,,,,,1832.3118,1832.3118
2015,Land use (000s hectares),Arable crops,Barley,,,,,1100.9197,1100.9197
2015,Land use (000s hectares),Arable crops,Oats,,,,,131.127,131.127
2015,Land use (000s hectares),Arable crops,"Rye, mixed corn and triticale",,,,,35.2166,35.2166
2015,Land use (000s hectares),Arable crops,Oilseed rape,,,,,652.3151,652.3151
2015,Land use (000s hectares),Arable crops,Linseed,,,,,15.023,15.023
2015,Land use (000s hectares),Arable crops,Potatoes,,,,,128.5222,128.5222
2015,Land use (000s hectares),Arable crops,Sugar beet (not for stockfeeding),,,,,90.317,90.317
2015,Land use (000s hectares),Arable crops,Peas for harvesting dry and field beans,,,,,213.26281,213.26281
